Apa kabar	Narai kabar
kenapa kamu kesal	buhen ikau rise
mana remotnya	kueh remot ah
yang mana bukumu	ji kueh bukum
siapa yang menyuruh dia masuk	eweh ji manyuhu ie tame
siapa orang itu	eweh uluh jikau
siapa yang peduli padaku	eweh ji paduli dengangkuh
siapa yang melakukan ini	eweh ji manggawi jituh
siapa lagi disana	eweh hindai melai kanih
apa masalah mu	narai masalah muh
kapan saya bisa menelpon anda	pea aku tau manelpon ikau
kapan saya mengatakan itu	pea aku hamauh jikau
kapan kamu tiba	pea ikau sampai
kapan kamu membelinya	pea ikau mamili ah
kapan kamu bangun	pea ikau misik
kapan sekolah selesai	pea sakula terai
kapan kamu lulus	pea ikau lulus
kamu masih mengantuk	ikau masih mangantuk
kamu masih tidur	ikau masih batiruh
apakah kamu ibu mereka	en ikau indu ewen
kamu dengan siapa	ikau dengan eweh
apakah kamu bersama dengan orang	en ikau hayak dengan uluh
apakah tangan mu bersih	en lengem barasih
apakah kamu tidak puas	en ikau dia puas
hati-hati dengan itu	babuah dengan jikau
banggalah dengan dirimu sendiri	banggalah dengan arepmu kabuat
bawa semua uangmu	imbit uras duitmuh
tapi kamu tidak ada disana	tapi iikau jatun melai kanih
hubungi aku malam ini	hubung aku alem tuh
bolehkah aku menjadi teman mu	tau kah aku jadi kawalmuh
bolehkah aku meminjam baju	taukah aku mainjam baju
bolehkah aku meminjam bajumu	taukah aku mainjam bajum
bisakah saya membawa teman	taukah aku mimbit kawal
bisakah saya membawa temanmu	taukah aku mimbit kawal muh
bisakah saya membawa temanku	taukah aku mimbit kawalkuh
bisakah aku meminta bantuan	taukah aku baluku duhup
bisakah saya menelpon kamu lagi	taukah aku manelpon ikau hindai
bisakah aku berbicara denganmu	taukah aku bapander dengam
bisakah aku berbicara dengan dia	taukah aku bapander dengan ie
bisakah saya mengambil hari libur	taukah aku manduan andau libur
boleh saya pesan	tau aku mesan
Bisakah saya memikirkannya?	taukah aku mamikir ah
Bisakah menyalakan TV	taukah mambelum TV
Bisakah saya menggunakan ponselmu	Taukah aku mahapan hape muh
Dapatkah seseorang membantu saya	Dinukah uluh manduhup aku
Bisakah kita mendapatkan bantuan	Taukah itah mandinu panduhup
bisakah kita mempercepat ini	taukah itah mampacapat jituh
Bisakah kau ikut denganku	taukah ikau umba dengangkuh
kamu ikut dengan kami	ikau umba dengan ikei
dia ikut kami	iye umba ikei
aku sudah memberitahumu	aku jadi mander akam
kamu tidak tau itu apa	ikau dia katawa jikau narai
kamu punya uang	ikau tege duit
Lakukan apapun yang kamu suka	gawi barangai ih ji ikau rajin
kamu punya buku	ikau tege buku
kamu punya pena	ikau tege pulpen
kamu punya pensil	ikau tege pensil
kamu punya penghapus	ikau tege penghapus
kamu ada membawa kunci	ikau tege mimbit kunci
kamu punya waktu	ikau tege waktum
kamu tahu namanya	ikau tawam arae
kamu tahu aku siapa	ikau tawam aku eweh
kamu suka sepakbola	ikau rajin sepakbola
kamu suka belajar	ikau rajin belajar
kamu suka membaca	ikau rajin mambasa
kamu suka menyanyi	ikau rajin menyanyi
kamu suka berenang	ikau rajin hanangui
apakah anda mengerti saya	en ikau mangerti aku
Apakah kamu ingin pisang	en ikau handak pisang
apakah kamu ingin ice cream	en ikau handak es cream
Apakah kamu ingin anak	en ikau handak anak
apakah kamu ingin minum	en ikau handak mihup
apakah kamu ingin makan	en ikau handak kuman
kamu mau masuk	ikau handak tame
kamu mau keluar	ikau handak balua
kamu ingin pergi	ikau handak tulak
Jangan buka bukumu	ela buka bukum
jangan buka mulutmu	ela buka nyamam
buka mulutmu	buka nyamam
jangan bermain api	ela busik apui
Jangan terlalu banyak merokok	ela lalau are maroko
jangan bicara seperti itu	ela bapander kilau te
jangan bicara dengan siapa pun	ela bapander dengan eweh pun
jangan bicara dengan orang	ela bapander dengan uluh
Semua orang bersemangat	uras uluh basamangat
Semua orang menyalahkanmu	uras uluh manyala ikau
Jangan pikirkan itu	ela mamikir jite
jangan merusak bunga	ela marusak bunga
Jangan merusak mood	ela marusak mood
jangan membuat aku takut	ela manampa aku mikeh
Semua orang fokus	uras uluh fokus
Semua orang tahu itu	uras uluh katawa jikau
Semua orang membutuhkan bantuan	uras uluh perlu panduhup
Semua orang berpikir begitu	uras uluh bapikir kalute
Semua terdiam	uras benyem
semua orang terdiam	uras uluh benyem
Semua orang menunggu	uras uluh manunggu
Semua orang pergi 	uras uluh tulak
Semua orang ada di sini sekarang	uras uluh tege melai hetuh
Semua orang marah	uras uluh basingi
semua orang takut	uras uluh mikeh
Semua orang berdiri	uras uluh mendeng
Semuanya tetap tenang	uras ah tatap tanang
selamat malam semuanya	salamat hamalem uras ah
Minumlah bersamaku	mihup lah dengangkuh
sudah dijual belum	jadi injual hindai
Dia menerima hadiahnya	ie narima hadiah ah
jangan lupa bawa barang	ela dia bingat mimbit barang
Dia mencapai tujuannya	ie mancapai tujua ah
membuat kue	manampa wadai
Dia selalu bekerja keras	ie selalu bagawi cangkal 
Aku dan dia adalah sepupu.	aku dengan ie te sapupu
Dia datang terlalu dini	ie dumah lalau susung
Dia meminta bantuanku	ie balaku panduhupkuh
tidak ada yang membantu	jatunti ji manduhup
Dia membangun rumah baru	iye mambangun huma taheta
Dia masuk ke kamarku	iye tame kan kamar kuh
dia masuk ke kamar	iye tame kan kamar
dia masuk ke dapur	iye tame kan dapur
dia masuk kerumah	iye tame kan huma
dia masuk ke wc	iye tame kan wc
Dia datang menyelamatkanku	ie dumah manyalamat aku
Dia tidak bisa dipercaya	iye dia tau in percaya
tidak bisa begitu	dia tau kalute
Dia tidak terlihat bahagia	iye dia gitan bahagia
Dia meninggal satu tahun yang lalu	iye malihi ije nyelu bihin
Dia meninggal satu bulan yang lalu	iye malihi ije bulan yang lalu
dia meninggal kemarin	iye malihi male
dia meninggal tadi	ie malihi endau
dia sudah meninggal	ie jadi malihi
dia sudah makan	ie jadi kuman
dia belum makan	ie hindai kuman
Dia tidak suka telur	ie dia rajin tanteluh
dia tidak suka ikan	ie dia rajin lauk
dia tidak suka sayur	ie dia rajin sayur
dia tidak suka ayam	ie dia rajin manuk
Dia tidak berbohong	ie dia nanjaru
dia pelit	ie bukih
Dia adalah murid yang baik	ie te murid ji harati
Dia pria tampan	ie hatue bakena
Dia kakakmu	ie kakam
Dia adikmu	ie andim
Dia marah padamu	ie basingi dengam
Dia basingi padaku	ie basingi dengangkuh
jangan santai	ela santai
semoga panjang umur sehat selalu	mundahan panjang umur barigas tarus
semoga sehat selalu	mundahan baringas tarus
jangan terlalu bersemangat	ela lalau basemangat
jangan terlalu rakus	ela lalau babungu
ayo jalan-jalan	yo mananjung
Dia jauh dari rumah	ie kejau bara huma
Dia dekat dari rumah	ie tukep bara huma
Dia jauh dari bahagia	ie kejau bara bahagia
Dia sedang membuat kue	ie lagih manampa wadai
Dia sedang membaca buku	ie lagih mambasa buku
Dia sedang membaca koran	ie lagih mambasa koran
Sayangnya dia salah	sayang ah ie sala
Dia masih berdiri	ie masih mendeng
Dia masih lari	ie masih hadari
Dia masih menangis	ie masih manangis
Dia masih duduk	ie masih munduk
Dia masih tidur	ie masih batiruh
Dia yang terpilih	ie ji tapilih
Dia memakai sarung tangan	ie mahapan sarung lenge
Dia memakai kacamata	ie mahapa kacamata
Dia memakai topi	ie mahapa topi
Dia memakai celana pendek	ie mahapa salawar pandak
Bagaimana kamu bisa tidak tahu	kenampi ikau dia katawa
bagaimana kamu bisa sampai di sini	kenampi ikau tau sampai kahetuh
berapa banyak yang kamu dapatkan	pire kare ji dinum
aku tidak sabar	aku dia sabar
Berapa banyak orang yang meninggal	pire kare uluh ji malihi
Berapa banyak yang kamu bayar	pire kare ji bayar muh
sudah bayar	jadi bayar
belajar lagi	belajar hindai
jangan menyerah	ela manyarah
beri dia uang	nenga ie duit
jangan beri dia uang	ela nenga ie duit
aku selalu percaya kamu	aku salalu percaya ikau
aku selalu percaya denganmu	aku salalu percaya dengam
Aku lebih baik dari kamu	aku labih bahalap bara ikau
jadi diri sendri	jadi arep kabuat
Saya membelikannya jam	aku mamili aka jam
Saya membeli lampu	aku mamili lampu
Aku tidak sabar menunggumu	aku dia sabar manunggum
kami tidak bertemu	ikei dia hasupa
Saya tidak punya telepon	aku jatunti telepon
Saya percaya pada diri saya sendiri	aku percaya huang arep kabuat
Saya orang baru di sini	aku uluh haru melai hetuh
mau kemana	handak kakueh
belajar membaca	balajar mambasa
Apakah kamu pernah berciuman	en ikau puji hasium
kamu sudah selesai	ikau jadi salesai
Sudahkah kamu mencuci pakaian	jadikah ikau bapukan pakaian
Sudah makan malam belum	jadi kuman hamalem hindai
Mau mengantar barang	handak magah barang
kamu sudah selesai berbicara	ikau jadi terai bapander
Jangan menggangu orang berbicara	ela manderuh uluh bapander
mau mengantar makan	handak magah panginan
bawa makanan	imbit panginan
bawa air minum	imbit danum mihup
ini untuk kamu	jituh akam
sudah minum obat	jadi mihup obat
boleh bertanya	tau misek
jangan bertanya	ela misek
siapa bertanya	eweh misek
kamu punya pacar	ikau tege pacar
minta air	laku danum
minta makanan	laku panginan
lihat aku	ture aku
baju nya bagus	baju ah bahalap
jangan dimakan	ela kuma
Aku tahu kau sedang memikirkanku.	aku tawangkuh ikau lagih mamikir aku
besok lagi	jewu hindai
jam berapa besok pergi	jam pire jewu tulak
kita harus giat belajar	itah harus cangkal sakula
ketemu lagi	hasupa hindai
kita harus giat sekolah	itah harus cangkal sakula
jangan sampai lupa	ela sampai dia bingat
jangan sampai habis	ela sampai lepah
kita harus sabar	itah harus sabar
hallo dunia	halo dunia
selamat pagi indonesia	selamat hanjewu indonesia
jangan didengarkan 	ela mahining ah
jangan berkelahi	ela hakalahi
Kapan dia masuk kerumah sakit	Hampea iye tame karumah sakit
masih ingat aku	masih bingat aku
nanti mau main	kareh handak main
besok aku pergi	jewu aku tulak
beli air minum	mili danum mihup
beli makanan dan buah	mili panginan dengan bua
beli makanan dan air minum	mili panginan dengan danum mihup
darimana kamu	bara kueh ikau
jangan maju 	ela maju
jangan mundur maju terus	ela mundur maju terus
dulu aku pernah	bihin aku puji
berjualan apa dia	bajualan narai ie
berjualan apa kamu	bajualan narai ikau
baru bangun tidur	haru misik batiruh
baru saja berbaring	haru ih menter
baru saja tidur	haru ih batiruh
aku mau tidur sebentar	aku handak batiruh hanjulu
aku dari tempat tidur	aku bara uka batiruh
membuat sarapan pagi	manampa sarapan hanjewu
membaca koran	mambasa koran
membaca buku	mambasa buku
aku sedang menyisir rambut	aku lagih manyarak balau
memasak untuk makan malam	bamasak akan kuman hamalem
memasak untuk makan siang	bamasak akan kuman bentuk andau
memasak untuk besok pagi	bamasak akan jewu hanjewu
mengerjakan PR	manggawi PR
menonton TV	manonton tv
dia menonton berita	ie manonton berita
dia menonton sepakbola	ie manonton sepakbola
jangan membuang sampah sembaran	ela manganan sampah sembarangan
membuang sampah	manganan sampah
mencuci piring	menyau piring
memberi makan anjing dan kucing	manenga panginan asu dengan pusa
dia kekamar mandi	ie kan kamar mandi
kita tidak sama	itah dia sama
cepat tidur	capat batiruh
cepat minum obat	capat mihup obat
minum obat	mihup obat
jangan setiap hari	ela satiap andau
umur kamu berapa	umur muh pire
saya bangun tidur cepat setiap hari	aku misik batiruh susung satiap andau
saya mandi	aku mandi
siapa didalam	eweh melai huang
bisakah kamu mandi	taukah ikau mandui
saya membersihkan tempat tidur	aku marasih uka batiruh
saya sedang melipat baju	aku lagih malipet baju
saya sedang melipat selimut	aku lagih malipet kahuwut
saya mau bersih-bersih dulu	aku handak marasih-rasih helu
saya sedang mencuci piring	aku lagih menyau piring
saya sedang memeras pakaian	aku lagih mahamis pakaian
saya sedang menjemur baju	aku lagi mengekei baju
saya sedang menyetrika pakaian	aku lagih manyatrika pakaian
saya menyapu lantai setiap hari	aku mamapas laseh satiap andau
saya sedang mengepel lantai	aku lagi malap laseh
saya sedang menonton film ini dengan saudara saya	aku lagih manonton film jituh dengan paharikuh
saya sedang memasak sop	aku lagih bamasak sop
saya sedang memasak nasi goreng	aku lagih bamasak nasi goreng
ibu saya sedang menggoreng ikan	umai kuh lagi manggoreng lauk 
saya merebus air untuk diminum	aku maluntuh danum akan ihup
saya minum secangkir teh	aku minup sacangkir the
ayah saya membaca koran setiap hari	bapakkuh mambasa koran satiap andau
ayah saya membaca koran setiap pagi	bapakkuh mambasa koran satiap hanjewu
ayo kita berjalan-jalan	yo itah mananjung-nanjung
saya memberi makan kucing saya 3 kali sehari	aku manenga panginan pusakuh 3 kali jandau
saya memberi makan anjing saya 3 kali sehari	aku manenga panginan asungkuh 3 kali jandau
saya sedang bermain bola dengan teman saya	aku lagih main bola dengan kawalkuh
kenapa tidak bisa	buhen dia tau
jangan dekat-dekat	ela tukep-tukep
jangan jauh	ela kejau
jangan lupa minum obat	ela dia bingat mihup obat
aku ada janji	aku tege janji
kamu pergi sama siapa	ikau tulak dengan eweh
jalannya lewat mana	jalan ah lewat kueh
jangan pilih teman	ela baintih kawal
aku salah apa	aku sala narai
jangan berbohong	ela mananjaru
jangan salah paham	ela sala paham
dia mabuk	ie babusau
kamu sudah mandi	ikau jadi mandui
kamu sudah makan	ikau jadi kuman
bisakah kamu mencuci piring	taukah ikau menyau piring
bisakah kamu membantu saya mencuci piring	taukah ikau manduhup aku menyau piring
sudah dapat	jadi dinu
bisakah kamu membantu saya mengerjakan PR	taukah ikau manduhup aku mengerja PR
Ibu bisakah membantu saya mengerjakan PR	Umai taukah manduhup aku mangerja PR
Ayah bisakah membantu saya mengerjakan PR	apang taukah manduhup aku mangerja PR
jangan mabuk	ela babusau
darimana uangmu	bara kueh duitmuh
bisakah temanku datang kerumah hari ini	taukah kawalkuh dumah kahuma andau tuh
kamu mau makan apa	ikau handak kuman narai
bisakah kamu menutup pintu	taukah ikau manutup batunggang
kamu sakit	ikau badarem
semoga cepat sembuh	mundahan capat barigas
bisa diulangi lagi	tau ngulang hindai
bisakah kamu berbicara pelan sedikit	taukah ikau bapander barangkah isut
barangnya sedikit	barang ah isut
barangnya sisa sedikit	barang ah tisa isut
masih ada sisa	masih tege tisa
apa artinya ini	narai arti ah jituh
saya tidak bisa mendengar kamu	aku dia tau mahining ikau
suaramu tidak jelas	suaram dia jelas
suaramu tidak kedengaran	suaram dia hining
apa ini	narai jituh
kemana kamu pergi	kakueh ikau tulak
jam berapa sudah	jam pire jadi
hari apa hari ini	andau narai andau tuh
ini hari kamis	tuh andau kamis
ini hari senin	tuh andau senin
ini hari selasa	tuh andau selasa
ini hari raba	tuh andau raba
ini hari jumahat	tuh andau jumahat
ini hari sabtu	tuh andau sabtu
ini hari minggu	tuh andau minggu
coba kamu lihat	coba ikau ture
apa contoh nya	narai contoh ah
bagaimana contohnya	kenampi contoh ah
saya mengerti	aku mengerti
saya tidak mengerti	aku dia mengerti
saya tahu	aku tawangkuh
saya tidak tahu	dia kutawa
jangan berebutan	ela hakarabut
kurang bagus	kurang bahalap
apa hobi kamu	narai hobi muh
kamu berasal dari mana	ikau asal ah bara kueh
dimana kamu tinggal	melai kueh ikau melai
ayo pergi bersama	yo tulak hayak
kamu punya pacar	ikau tege pacar
saya tidak ada pacar	aku jatun pacar
masih ada harapan	masih tege harapan
boleh kah saya meminjam payung	taukah aku minjam payung
lama tidak bertemu	tahi dia hasupa
berapa gajimu sebulan	pire gajihmuh ije bulan
apa pekerjaan mu	narai gawim
tidak ada masalah	jatun masalah
apa masalahnya	narai masalah ah
apa pendapat kamu	narai pendapatmuh
bagaimana pendapatmu	kenampi pendapatmuh
banyak minta doa	are balaku doa
saya tidak tertarik	aku dia tertarik
saya tertarik	aku tertarik
tidak masalah itu	dia masalah jikau
saya terkejut	aku tarewen
kamu semakin gendut	ikau sasar baseput
kamu semakin kurus	ikau sasar paringkung
kamu semakin ganteng	ikau sasar bakena
kamu semakin cantik	ikau sasar cantik
itu bukan salah kamu	jikau beken salam
itu salah kamu	jikau salam
saya paham perasaan mu	aku paham perasaam
tidak mungkin	dia mungkin
tidak kupercaya	dia kupercaya
hujan mulai turun	hujan nampara muhun
diluar dingin sekali	melai luar sadingen tutu
diluar panas sekali	melai luar balasut tutu
bisakah kamu berbicara lebih keras	taukah ikau bapander labih nyaring
apa tujuanmu	narai tujuam
bawa pulang	imbit buli
masih ada tempat duduk	masih tege uka munduk
santai dulu	santai helu
rasanya pahit	angat ah bapait
rasanya manis dan asam	angat ah manis dengan masem
rasanya manis dan asin	angat ah manis dengan bakahing
rasanya asin	angat ah bakahing
rasanya manis	angat ah manis
manis sekali	manis tutu
ini pedas sedikit	jituh padas isut
rasanya hambar	angat ah batawah
mana yang lebih kamu suka	jikueh ji labih ikau rajin
saya kenyang	aku besuh
terlalu sulit	lalau bahali
dimana kalian	kueh ketun
saya lapar	aku balau
bolehkah saya meminta struknya	taukah aku balaku struk ah
dimana kamar mandinya	melai kueh kamar mandi ah
dimana kamar nya	melai kueh kamar ah
dimana dapur nya	melai kueh dapur ah
apa kamu cari	narai gawum
terlalu besar	lalau hai
terlalu kecil	lalau kurik
terlalu pendek	lalau pendek
terlalu tinggi	lalau gantung
terlalu mahal sekali	lalau larang tutu
mahal sekali	larang tutu
murah sekali	murah tutu
dimana kasirnya	melai kueh kasir ah
saya ingin mengembalikan ini	aku handak malian jituh
ini rusak	jituh rusak
saya ingin menukar uang	aku handak mahurup duit
sakit sekali disini	pehe tutu melai hetuh
tunggu sebentar	nunggu hanjulun
oh begitu	oh kalute
untuk apa itu	akan narai jikau
untuk apa	akan narai
jangan begitu	ela kalute
siapa lagi	eweh hindai
itu benar	jikau bujur
tinggalkan aku	lihi aku
kamu bercanda 	ikau hureh 
apa maksudmu	narai maksudmuh
saya kira begitu	kirakuh kalute
coba kamu rasa	coba ikau keme
jangan ribut	ela habut
jangan sama	ela sama
sayang sekali	sayang tutu
sudah pergi 	jadi tulak
sudah semua	jadi uras
pergi dari sini	tulak bara hetuh
jangan lewat disini	ela mahalau melai hetuh
ada orang dirumah	telah uluh melai huma
kapan pendaftarannya	pea pendaftaraan ah
bagaimana dengan ujianmu	kenampi dengan ujiam
kamu pilih yang mana	ikau mintih ji kueh
ini pesanan punyamu	ini pesanan ayum
ada berapa punyamu	tege pire ayum
siapa yang bertugas	eweh ji batugas
siapa yang bertugas hari ini	eweh ji batugas andau tuh
jangan dipakai	ela mahapa
lihat aku	ture aku
jangan malas	ela kadian
aku punya es krim	aku tege es krim
silahkan masuk	palus wei
ada yang bisa saya bantu	tege ji tau aku duhup
iya boleh	yuh tau
ini punyamu	jituh ayum
ayo makan disini	yo kuman melai hetuh
luar biasa hari ini	luar biasa andau tuh
ini berat	jituh babehat
ini ringan	jituh mahian
aku tau semuanya	aku tawangkuh uras ah
aku tak bermaksud begitu	aku dia bamaksud kalute
setelah kamu	limbah ikau
seperti kamu	kilau ikau
semoga berhasil	mundahan berhasil
siapa menelpon	eweh manelpon
siapa yang menelpon	eweh ji manelpon
tunjukkan padaku	nunjuk akangkuh
saya punya ide bagus	aku tege ide bahalap
lama sekali tak bertemu denganmu	tahi tutu dia hasupa dengam
lama tak bertemu	tahi dia hasupa
kamu disini	ikau melai hetuh
jangan bergerak	ela bagarak
kamu bisa melakukannya	ikau tau menggawi
hari apa ini	andau narai jituh
aku mendengar dengan baik	aku mahining dengan bahalap
pendengarannya bagus	pahining ah bahalap
benar begitu	bujur kalute
itu saja	jite ih
kamu harus tau	ikau harus katawa
siapa dia	eweh ie
aku punya banyak teman disini	aku tege are kawal melai hetuh
itu tak mudah	jikau dia mangat
itu tak sulit	jikau dia bahali
aku ada berita	aku tege berita
kamu mau ikut	ikau handak umba
kamu tidak ikut	ikau dia umba
dia sudah sakit selama tiga minggu	ie jadi badarem selama telo minggu
aku setuju denganmu	aku satuju dengam
aku lupa siapa namanya	aku dia bingat eweh ara
aku tak percaya	aku dia percaya
aku percaya	aku percaya
saya bangun jam enam	aku misik jam jahawen
jangan gugup	ela gugup
dimana kamu ingin bertemu	melai kueh ikau handak hasupa
tak masuk akal	dia tame akal
tidak itu bukan milikku	dia jikau beken ayungkuh
ini milikmu	jituh ayum
terimakasih sudah datang	tarimakasih jadi dumah
lepaskan sepatumu	lapas sepatum
lepaskan sendalmu	lapas sandalmuh
sepatumu ukuran berapa	sepatum ukuran pire
sendalmu ukuran berapa	sandalmuh ukuran pire
tidak cocok	dia cocok
aku bangga padamu	aku bangga dengam
aku bangga tutu	aku bangga sekali
jangan menyerah duluan	ela manyara helu
aku bangun tidur telat sedikit	aku misik batiruh lambat isut
aku sedang berusaha	aku lagih berusaha
aku sudah berusaha	aku jadi berusaha
kamu benar sekali	ikau bujur tutu
aku harus mulai belajar	aku harus nampara balajar
jam berapa mulai	jam pire nampara
ada yang harus kusampaikan	tege ji harus inyampai kuh
semua orang tau	uras uluh katawa 
nanti saja	kareh ih
aku berhenti bekerja	aku terai bagawi
berhenti sebentar	tende hanjulu
dimana kamu berhenti	melai kueh ikau tende
saya memotong rambut satu bulan sekali	aku manetek balau ije bulan sekali
aku tidak mau basah	aku dia hakun bisa
kamu tau jawabannya	ikau tawam jawaba ah
kamu darimana	ikau barakueh
kamu sudah membeli daging dan telur	ikau jadi mamili dagian dengan tanteluh
bacalah itu untukku	basa jikau akangkuh
kamu bercanda denganku	ikau hureh dengangkuh
kamu mau minum apa	ikau handak mihup narai
jangan buat aku menunggu lama	ela manampa aku manunggu tahi
dia sedang mencari pekerjaan	ie lagih manggau gawi
aku berbaring sebentar	aku menter hanjulu
kamu salah paham	ikau sala paham
itu salahku	jikau salakuh
percaya atau tidak	percaya en dia
ada pesan untukmu	tege pesan akam
ada pesan untukku	tege pesan akangkuh
boleh aku masuk	tau aku tame
badanku gatal sekali	bitingkuh bagatel tutu
percaya denganku	percaya dengangkuh
dia memperbaiki rumahnya	ie mangambuah huma ah
kesini kamu	kahetuh ikau
jangan menangis	ela manangis
yang mana yang benar	ji kueh ji bujur
dia sudah kesekolah	ie jadi kan sakula
dia sudah sekolah	ie jadi sekolah
dia tidak peduli denganku	ie dia peduli dengangkuh
terimakasih sarannya	tarimakasih saran ah
bagus sekali	bahalap tutu
ada apa	tege narai
ini dia	tuh ie
itu terserah kamu	jikau tasarah ikau
tolong saya	duhup aku
kenapa tidak	buhen dia
tunggu dulu	nunggu helu
berapa banyak	pire kare
tidak masalah	dia masalah
saya tersesat	aku layang
apa itu	narai jikau
ikuti aku	nuntut aku
kamu yakin	ikau yakin
pelan-pelan saja	rangkah-rangkah ih
jauh sekali	kejau tutu
dekat sekali	tukep tutu
datang kerumah	dumah kan huma
lama sekali 	tahi tutu
dia terlalu lelah	ie lalau uyuh
satu	ije
dua	due
tiga	telo
empat	epat
lima	lime
enam	jahawen
tujuh	uju
delapan	hanya
sembilan	jalatien
sepuluh	sapuluh
sebelas	sabelas
dua belas	due belas
tiga belas	telo belas
empat	epat belas
lima belas	lime belas
enam belas	jahawen belas
tujuh belas	uju belas
delapan belas	hanya belas
sembilan belas	jalatien belas
dua pulus	due pulu
seratus	ije ratus
seribu	ije kuyan
aku	aku
kau	ikau
dia	iye
kita	itah
kalian	ketun
mereka	ewen
ibu	umai
ayah	apang
nenek	tambi
kakek	bue
bibi	mina
paman	mama
adik	andi
kakak	kaka
bungsu	busu
anak bungsu	tambusu
anak sulung	tambakas
besan	sanger
laki-laki	hatue
perempuan	bawi
banci	basir
anak	anak
anak kecil	anak luhan
dukun	belian
Tuhan yang maha kuasa	ranying hatalla langit
Tuhan 	hatalla
hantu	kambe
istri	sawae
suami	banae
almarhum	liau
itu	te
ini	tuh
nya	ah
yang itu	jite
yang ini	jituh
sana	hekaw
sini	hetuh
dalam	huang
didalam	intu huang
di	intu/hang
ke	kan
untuk	akan
begitu	kute
begini	kutuh
seperti	kilau
apa	narai
kabar	kabar
mana	kuweh
sakit	badarem
dimana	hong kueh
kapan	pea
berapa	pire
bagaimana	kenampi
siapa	eweh
makan	kuman
minum	mihup
tidur	tiruh
jalan	mananjung
lari	hadari
duduk	munduk
kerja	bagawi
ambil	nduan
jatuh	manjatu
tikam	nejeb
bacok	nimpas
sembelih	ngarat
berenang	hanangui
mendayung	mambesei
menyapu	mapas
sisir rambur	basarak
bedakan	bepupur
rebus	luntuh
merebuh	maluntuh
memancing	mamisi
menebas rumbut	mandirik
membaca	mambasa
pukul	mawi
natal	menampar
lapar	belau
kenyang	lapar
diikat	meteng
membuat	manampa
menghitung	reken
ikut	umba
tolong	duhup
tinggal	lihi
ketinggalan	belihi
terbang	terawang
bisa	ulih
tidak bisa	dia ulih
mau	hakun
tidak mau	dia hakun
atas	hunjun
bawah	penda
depan	baun
belakang	likut
samping	sila
tadi	endau
barusan	haru
dulu	bihin/huran
duluan	helu
besok	jewu
kemarin	male
nanti	kareh
hari	andau
malam	hamalem
selamat	salamat
sore	halemei
pagi	hanjewu
tahun	nyelu
rumah	huma
tanah	petak
sawah/ladang	tana
air	danum
api 	apui
daun	dawen
pancing	pisi
matikan	belep
hidup	belum
lampu	sumbu
seberang	dimpah
sampah	rutik
angin	riwut
kepala	takuluk
hidung	urung
mulut	nyama
gigi	kasinga
telinga	pinding
leher	uyat
tangan	lenge
kaki	pai
pantat	paran
paha	sapak
rambut	balaw
kemaluan perempuan 	bulaw
muka	bau
mukamu	baum
badan	biti
mata	mata
bau 	bahewau
kuku	silu
bahu	bahai
payudara	tusu
lidah	jela
anjing	asu
kucing	pusa
katak	bakatak
ayam	manuk
kutu	guti
belut	lindung
belalang	sangkalap
cacing	handalai
ikan	lauk
ular	handipe
tikus	belawau
burung	burung
angsa	gangsa
ular sawah	panganen
karena	awi
sebab	sabab
belum	hindai
jangan	ela
bisa	tau
pernah	puji
tidak	dia
ya	iyoh
lain	beken
sudah	jadi
mau	hakun
apa-apaan	narara
atau	atawa
dari	bara
pilih	intih
dengan	dengan
biar	naum
tutup	nutup
buka	buka
iri	bahiri
pelit	bukih
bodoh	humung
pintar	pintar
binatang	metu
awal	tampara
mati	matei
hidup	belum
sehat	barigas
sakit	haban
kenyang	besuh
nama	aran
namamu	aram
namanya	ara
namaku	arangku
mengubur	ngubur
meminjam	injam
bolak-balik	bulang-bulik
pulang	buli
cepat	capat
terlalu	lalau
kelamaan	ketahi
cepatnya	kacapat ah
memakai	hapan
lepas	lapas
tangkap	nekap
tikar	amak
habis	lepah
ada	tege
tidak ada	jatun
masih	masih
memang	puna
berhenti/stop/selesai	terai
nanti	kareh
segala	kare
naik	mandai
turun	muhun
buang	nganan
bunuh	patei
semua	uras
sedikit	isut
banyak	are
kebanyakan	kakare
kesedikitan	keisutan
paling besar	tehai
paling kecil	tekurik
kasih	nenga
terang	tarang
gelap	kaput
sempit	sekek
pelit	bisit
curang	pengakal
suka bohong	pemikir
malu	mahamen
berani	bahanyi
takut	mikeh
padi	parei
busuk	maram
besar	hai
kecil	kurik
bekas koreng	kunat
luka	behimang
hantu	kambe
sempat	sampet
pisau	lading
dapat	dinun
hilang	nihau
tau	tawangku
ku tau	kutawa
entah	tawa
celana	selawar
penuh	kuntep
dalam	handalem
tertawa	tatawe
bodoh	humung
habiskan	palehpah
masuk	palus
lega	kalawa
tinggi	gantung
pendek	pandak
capek	uyuh
benar	bujur
salah	sala
taruh	andak
beras	behas
nasi	bari
pedas	bahari
panas	balasut
dingin	sadingen
sendiri	kabuat
berteman	hakawal
dengan	dengan
bagus	bahalap
terlihat	gitan
lihat	gite
kulihat	gitangku
punya	ayun
punyaku	ayungku
punya dia	ayu
sebentar	hanjulu
manusia	uluh
biji	bawak
telor	tantelu
anyaman	dare
asap	asep
darat	ngambu
hulu	ngaju
hilir	ngawa
antar	agah
mengantar	magah
angker	rutas
diam	benyem
ramai	rami
bermain	busik
merah	bahandang
biru	biru
kuning	bahenda
hijau	bahijau
putih	baputi
ganteng	bakena
